Hour,total,errors,error_rate(%),top_error_pair
0,771,147,19.07,Clear→Cloudy
22,824,147,17.84,Clear→Cloudy
2,815,140,17.18,Clear→Cloudy
21,808,136,16.83,Clear→Cloudy
23,782,129,16.5,Clear→Cloudy
1,831,127,15.28,Clear→Cloudy
3,755,93,12.32,Clear→Cloudy
20,801,95,11.86,Clear→Cloudy
4,796,90,11.31,Clear→Cloudy
19,783,86,10.98,Clear→Cloudy
5,769,84,10.92,Clear→Cloudy
8,781,80,10.24,Clear→Cloudy
7,821,71,8.65,Clear→Cloudy
6,780,67,8.59,Clear→Cloudy
9,793,54,6.81,Clear→Cloudy
10,792,53,6.69,Clear→Cloudy
18,799,51,6.38,Clear→Cloudy
17,805,47,5.84,Clear→Cloudy
12,753,33,4.38,Clear→Cloudy
16,824,35,4.25,Clear→Cloudy
11,794,30,3.78,Clear→Cloudy
15,780,28,3.59,Clear→Cloudy
13,763,26,3.41,Clear→Cloudy
14,810,23,2.84,Clear→Cloudy
